"customer_id","customer_name","age","product_id","product_name","category","order_id","ship_mode","sales"
"TB-21520","Tracy Blumstein",48,"FUR-FU-10004848","Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock","Furniture","US-2015-150630","Standard Class","124.2"
"TB-21520","Tracy Blumstein",48,"OFF-EN-10001509","Poly String Tie Envelopes","Office Supplies","US-2015-150630","Standard Class","3.264"
"TB-21520","Tracy Blumstein",48,"OFF-AR-10004042","BOSTON Model 1800 Electric Pencil Sharpeners  Putty/Woodgrain","Office Supplies","US-2015-150630","Standard Class","86.304"
"TB-21520","Tracy Blumstein",48,"OFF-BI-10001525","Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red","Office Supplies","US-2015-150630","Standard Class","6.858"
"TB-21520","Tracy Blumstein",48,"OFF-AR-10001683","Lumber Crayons","Office Supplies","US-2015-150630","Standard Class","15.76"
"MA-17560","Matt Abelman",19,"OFF-PA-10000249","Easy-staple paper","Office Supplies","CA-2017-107727","Second Class","29.472"
"GH-14485","Gene Hale",28,"TEC-PH-10004977","GE 30524EE4","Technology","CA-2016-117590","First Class","1097.544"
"GH-14485","Gene Hale",28,"FUR-FU-10003664","Electrix Architects Clamp-On Swing Arm Lamp  Black","Furniture","CA-2016-117590","First Class","190.92"
"SN-20710","Steve Nguyen",46,"OFF-EN-10002986","#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes","Office Supplies","CA-2015-117415","Standard Class","113.328"
"SN-20710","Steve Nguyen",46,"FUR-BO-10002545","Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors","Furniture","CA-2015-117415","Standard Class","532.3992"
"SN-20710","Steve Nguyen",46,"FUR-CH-10004218","Global Fabric Managers Chair  Dark Gray","Furniture","CA-2015-117415","Standard Class","212.058"
"SN-20710","Steve Nguyen",46,"TEC-PH-10000486","Plantronics HL10 Handset Lifter","Technology","CA-2015-117415","Standard Class","371.168"
"LC-16930","Linda Cazamias",31,"TEC-PH-10004093","Panasonic Kx-TS550","Technology","CA-2017-120999","Standard Class","147.168"
"RA-19885","Ruben Ausman",51,"OFF-ST-10003479","Eldon Base for stackable storage shelf  platinum","Office Supplies","CA-2016-101343","Standard Class","77.88"
"ES-14080","Erin Smith",20,"OFF-ST-10003282","Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers","Office Supplies","CA-2017-139619","Standard Class","95.616"
"ON-18715","Odella Nelson",27,"TEC-AC-10000171","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack","Technology","CA-2016-118255","First Class","45.98"
"ON-18715","Odella Nelson",27,"OFF-BI-10003291","Wilson Jones Leather-Like Binders with DublLock Round Rings","Office Supplies","CA-2016-118255","First Class","17.46"
"PO-18865","Patrick O'Donnell",64,"OFF-ST-10001713","Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black","Office Supplies","CA-2014-146703","Second Class","211.96"
"LH-16900","Lena Hernandez",66,"TEC-AC-10002167","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","Technology","CA-2016-169194","Standard Class","45"
"LH-16900","Lena Hernandez",66,"TEC-PH-10003988","LF Elite 3D Dazzle Designer Hard Case Cover  Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","Technology","CA-2016-169194","Standard Class","21.8"
"DP-13000","Darren Powers",40,"OFF-BI-10004410","C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack","Office Supplies","CA-2015-115742","Standard Class","38.22"
"DP-13000","Darren Powers",40,"OFF-LA-10002762","Avery 485","Office Supplies","CA-2015-115742","Standard Class","75.18"
"DP-13000","Darren Powers",40,"FUR-FU-10001706","Longer-Life Soft White Bulbs","Furniture","CA-2015-115742","Standard Class","6.16"
"DP-13000","Darren Powers",40,"FUR-CH-10003061","Global Leather Task Chair  Black","Furniture","CA-2015-115742","Standard Class","89.99"
"JM-15265","Janet Molinari",23,"OFF-FA-10000304","Advantus Push Pins","Office Supplies","CA-2016-105816","Standard Class","15.26"
"JM-15265","Janet Molinari",23,"TEC-PH-10002447","AT&T CL83451 4-Handset Telephone","Technology","CA-2016-105816","Standard Class","1029.95"
"TB-21055","Ted Butterfield",34,"OFF-ST-10000604","Home/Office Personal File Carts","Office Supplies","CA-2016-111682","First Class","208.56"
"TB-21055","Ted Butterfield",34,"OFF-PA-10001569","Xerox 232","Office Supplies","CA-2016-111682","First Class","32.4"
"TB-21055","Ted Butterfield",34,"FUR-CH-10003968","Novimex Turbo Task Chair","Furniture","CA-2016-111682","First Class","319.41"
"TB-21055","Ted Butterfield",34,"OFF-PA-10000587","Array Parchment Paper  Assorted Colors","Office Supplies","CA-2016-111682","First Class","14.56"
"TB-21055","Ted Butterfield",34,"TEC-AC-10002167","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive","Technology","CA-2016-111682","First Class","30"
"TB-21055","Ted Butterfield",34,"OFF-BI-10001460","Plastic Binding Combs","Office Supplies","CA-2016-111682","First Class","48.48"
"TB-21055","Ted Butterfield",34,"OFF-AR-10001868","Prang Dustless Chalk Sticks","Office Supplies","CA-2016-111682","First Class","1.68"
"KM-16720","Kunst Miller",69,"TEC-AC-10004633","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  3/Pack","Technology","CA-2015-135545","Standard Class","13.98"
"KM-16720","Kunst Miller",69,"OFF-BI-10001078","Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7/8 X 11","Office Supplies","CA-2015-135545","Standard Class","25.824"
"KM-16720","Kunst Miller",69,"OFF-PA-10003892","Xerox 1943","Office Supplies","CA-2015-135545","Standard Class","146.73"
"KM-16720","Kunst Miller",69,"FUR-FU-10000397","Luxo Economy Swing Arm Lamp","Furniture","CA-2015-135545","Standard Class","79.76"
"PS-18970","Paul Stevenson",31,"FUR-CH-10001146","Global Value Mid-Back Managers Chair  Gray","Furniture","US-2015-164175","Standard Class","213.115"
"BS-11590","Brendan Sweed",45,"OFF-AR-10002671","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener  Beige","Office Supplies","CA-2014-106376","Standard Class","1113.024"
"BS-11590","Brendan Sweed",45,"TEC-PH-10002726","netTALK DUO VoIP Telephone Service","Technology","CA-2014-106376","Standard Class","167.968"
"KD-16270","Karen Daniels",59,"OFF-PA-10000482","Snap-A-Way Black Print Carbonless Ruled Speed Letter  Triplicate","Office Supplies","CA-2016-119823","First Class","75.88"
"HM-14980","Henry MacAllister",35,"OFF-BI-10004654","Avery Binding System Hidden Tab Executive Style Index Sets","Office Supplies","CA-2016-106075","Standard Class","4.616"
"TB-21520","Tracy Blumstein",48,"OFF-PA-10004675","Telephone Message Books with Fax/Mobile Section  5 1/2 x 3 3/16","Office Supplies","CA-2017-114440","Second Class","19.05"
"JE-15745","Joel Eaton",25,"FUR-CH-10000513","High-Back Leather Managers Chair","Furniture","US-2015-134026","Standard Class","831.936"
"JE-15745","Joel Eaton",25,"FUR-FU-10003708","Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36 x 48","Furniture","US-2015-134026","Standard Class","97.04"
"JE-15745","Joel Eaton",25,"OFF-ST-10004123","Safco Industrial Wire Shelving System","Office Supplies","US-2015-134026","Standard Class","72.784"
"KB-16600","Ken Brennan",29,"OFF-BI-10004182","Economy Binders","Office Supplies","US-2017-118038","First Class","1.248"
"KB-16600","Ken Brennan",29,"FUR-FU-10000260","6 Cubicle Wall Clock  Black","Furniture","US-2017-118038","First Class","9.708"
"KB-16600","Ken Brennan",29,"OFF-ST-10000615","SimpliFile Personal File  Black Granite  15w x 6-15/16d x 11-1/4h","Office Supplies","US-2017-118038","First Class","27.24"
"JE-15745","Joel Eaton",25,"FUR-FU-10003194","Eldon Expressions Desk Accessory  Wood Pencil Holder  Oak","Furniture","US-2014-147606","Second Class","19.3"
"SC-20770","Stewart Carmichael",18,"OFF-AP-10002118","1.7 Cubic Foot Compact Cube Office Refrigerators","Office Supplies","CA-2016-127208","First Class","208.16"
"SC-20770","Stewart Carmichael",18,"OFF-BI-10002309","Avery Heavy-Duty EZD  Binder With Locking Rings","Office Supplies","CA-2016-127208","First Class","16.74"
"DN-13690","Duane Noonan",42,"OFF-AR-10002053","Premium Writing Pencils  Soft  #2 by Central Association for the Blind","Office Supplies","CA-2014-139451","Standard Class","14.9"
"DN-13690","Duane Noonan",42,"OFF-ST-10002370","Sortfiler Multipurpose Personal File Organizer  Black","Office Supplies","CA-2014-139451","Standard Class","21.39"
"JC-16105","Julie Creighton",56,"OFF-EN-10000927","Jet-Pak Recycled Peel N Seal Padded Mailers","Office Supplies","CA-2015-149734","Standard Class","200.984"
"CS-12400","Christopher Schild",33,"OFF-ST-10003656","Safco Industrial Wire Shelving","Office Supplies","US-2017-119662","First Class","230.376"
"PO-18865","Patrick O'Donnell",64,"FUR-CH-10000863","Novimex Swivel Fabric Task Chair","Furniture","CA-2017-140088","Second Class","301.96"
"PG-18895","Paul Gonzalez",64,"TEC-AC-10001998","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired","Technology","CA-2017-155558","Standard Class","19.99"
"PG-18895","Paul Gonzalez",64,"OFF-LA-10000134","Avery 511","Office Supplies","CA-2017-155558","Standard Class","6.16"
"GM-14455","Gary Mitchum",64,"OFF-ST-10003442","Eldon Portable Mobile Manager","Office Supplies","CA-2016-159695","Second Class","158.368"
"JS-15685","Jim Sink",33,"OFF-AR-10004930","Turquoise Lead Holder with Pocket Clip","Office Supplies","CA-2016-109806","Standard Class","20.1"
"JS-15685","Jim Sink",33,"TEC-PH-10004093","Panasonic Kx-TS550","Technology","CA-2016-109806","Standard Class","73.584"
"JS-15685","Jim Sink",33,"OFF-PA-10000304","Xerox 1995","Office Supplies","CA-2016-109806","Standard Class","6.48"
"KB-16315","Karl Braun",70,"OFF-PA-10003177","Xerox 1999","Office Supplies","CA-2015-149587","Second Class","12.96"
"KB-16315","Karl Braun",70,"FUR-FU-10003799","Seth Thomas 13 1/2 Wall Clock","Furniture","CA-2015-149587","Second Class","53.34"
"KB-16315","Karl Braun",70,"OFF-BI-10002852","Ibico Standard Transparent Covers","Office Supplies","CA-2015-149587","Second Class","32.96"
"RB-19705","Roger Barcio",63,"OFF-BI-10004738","Flexible Leather- Look Classic Collection Ring Binder","Office Supplies","US-2017-109484","Standard Class","5.682"
"PN-18775","Parhena Norris",35,"FUR-FU-10000629","9-3/4 Diameter Round Wall Clock","Furniture","CA-2017-161018","Second Class","96.53"
"KD-16345","Katherine Ducich",33,"OFF-BI-10001721","Trimflex Flexible Post Binders","Office Supplies","CA-2017-157833","First Class","51.312"
"ER-13855","Elpida Rittenbach",56,"OFF-AP-10000358","Fellowes Basic Home/Office Series Surge Protectors","Office Supplies","CA-2016-149223","Standard Class","77.88"
"RB-19465","Rick Bensley",18,"OFF-PA-10003256","Avery Personal Creations Heavyweight Cards","Office Supplies","CA-2016-158568","Standard Class","64.624"
"RB-19465","Rick Bensley",18,"TEC-AC-10001767","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card","Technology","CA-2016-158568","Standard Class","95.976"
"RB-19465","Rick Bensley",18,"OFF-BI-10002609","Avery Hidden Tab Dividers for Binding Systems","Office Supplies","CA-2016-158568","Standard Class","1.788"
"GZ-14470","Gary Zandusky",64,"OFF-PA-10004040","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)","Office Supplies","CA-2016-129903","Second Class","23.92"
"LC-16870","Lena Cacioppo",63,"TEC-AC-10001552","Logitech K350 2.4Ghz Wireless Keyboard","Technology","US-2015-156867","Standard Class","238.896"
"LC-16870","Lena Cacioppo",63,"FUR-FU-10004006","Deflect-o DuraMat Lighweight  Studded  Beveled Mat for Low Pile Carpeting","Furniture","US-2015-156867","Standard Class","102.36"
"LC-16870","Lena Cacioppo",63,"OFF-BI-10002794","Avery Trapezoid Ring Binder  3 Capacity  Black  1040 sheets","Office Supplies","US-2015-156867","Standard Class","36.882"
"JM-15250","Janet Martin",62,"TEC-AC-10003499","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive","Technology","CA-2017-119004","Standard Class","74.112"
"JM-15250","Janet Martin",62,"TEC-PH-10002844","Speck Products Candyshell Flip Case","Technology","CA-2017-119004","Standard Class","27.992"
"JM-15250","Janet Martin",62,"OFF-AR-10000390","Newell Chalk Holder","Office Supplies","CA-2017-119004","Standard Class","3.304"
"PA-19060","Pete Armstrong",31,"TEC-AC-10000844","Logitech Gaming G510s - Keyboard","Technology","CA-2015-129476","Standard Class","339.96"
"CV-12805","Cynthia Voltz",55,"FUR-FU-10001934","Magnifier Swing Arm Lamp","Furniture","CA-2017-146780","Standard Class","41.96"
"CL-12565","Clay Ludtke",36,"OFF-AR-10000380","Hunt PowerHouse Electric Pencil Sharpener  Blue","Office Supplies","CA-2016-128867","Standard Class","75.96"
"CL-12565","Clay Ludtke",36,"OFF-BI-10003981","Avery Durable Plastic 1 Binders","Office Supplies","CA-2016-128867","Standard Class","27.24"
"RC-19960","Ryan Crowe",34,"OFF-FA-10000621","OIC Colored Binder Clips  Assorted Sizes","Office Supplies","CA-2014-115259","Second Class","40.096"
"RC-19960","Ryan Crowe",34,"OFF-EN-10002600","Redi-Strip #10 Envelopes  4 1/8 x 9 1/2","Office Supplies","CA-2014-115259","Second Class","4.72"
"RC-19960","Ryan Crowe",34,"OFF-PA-10004965","Xerox 1921","Office Supplies","CA-2014-115259","Second Class","23.976"
"RC-19960","Ryan Crowe",34,"OFF-EN-10002504","Tyvek  Top-Opening Peel & Seel Envelopes  Plain White","Office Supplies","CA-2014-115259","Second Class","130.464"
"DK-13090","Dave Kipp",24,"FUR-TA-10001768","Hon Racetrack Conference Tables","Furniture","CA-2015-110457","Standard Class","787.53"
"GG-14650","Greg Guthrie",51,"OFF-BI-10003650","GBC DocuBind 300 Electric Binding Machine","Office Supplies","US-2015-136476","Standard Class","157.794"
"SC-20725","Steven Cartwright",28,"FUR-FU-10002157","Artistic Insta-Plaque","Furniture","CA-2016-103730","First Class","47.04"
"SC-20725","Steven Cartwright",28,"OFF-BI-10003910","DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies","CA-2016-103730","First Class","30.84"
"SC-20725","Steven Cartwright",28,"OFF-ST-10000777","Companion Letter/Legal File  Black","Office Supplies","CA-2016-103730","First Class","226.56"
"SC-20725","Steven Cartwright",28,"OFF-EN-10002500","Globe Weis Peel & Seel First Class Envelopes","Office Supplies","CA-2016-103730","First Class","115.02"
"SC-20725","Steven Cartwright",28,"TEC-PH-10003875","KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7","Technology","CA-2016-103730","First Class","68.04"
"AD-10180","Alan Dominguez",52,"FUR-CH-10004063","Global Deluxe High-Back Managers Chair","Furniture","US-2014-152030","Second Class","600.558"
"PF-19165","Philip Fox",30,"FUR-TA-10004534","Bevis 44 x 96 Conference Tables","Furniture","US-2014-134614","Standard Class","617.7"
"TS-21610","Troy Staebel",33,"OFF-BI-10003274","Avery Durable Slant Ring Binders  No Labels","Office Supplies","US-2017-107272","Standard Class","2.388"
"TS-21610","Troy Staebel",33,"OFF-ST-10002974","Trav-L-File Heavy-Duty Shuttle II  Black","Office Supplies","US-2017-107272","Standard Class","243.992"
"LS-16975","Lindsay Shagiari",66,"FUR-CH-10001146","Global Value Mid-Back Managers Chair  Gray","Furniture","US-2016-125969","Second Class","81.424"
"LS-16975","Lindsay Shagiari",66,"FUR-FU-10003773","Eldon Cleatmat Plus Chair Mats for High Pile Carpets","Furniture","US-2016-125969","Second Class","238.56"
"DW-13585","Dorothy Wardle",62,"TEC-PH-10002293","Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5","Technology","US-2017-164147","First Class","59.97"
"DW-13585","Dorothy Wardle",62,"OFF-PA-10002377","Xerox 1916","Office Supplies","US-2017-164147","First Class","78.304"
"DW-13585","Dorothy Wardle",62,"OFF-FA-10002780","Staples","Office Supplies","US-2017-164147","First Class","21.456"
"LC-16885","Lena Creighton",31,"OFF-PA-10001804","Xerox 195","Office Supplies","CA-2016-145583","Standard Class","20.04"
"LC-16885","Lena Creighton",31,"OFF-PA-10001736","Xerox 1880","Office Supplies","CA-2016-145583","Standard Class","35.44"
"LC-16885","Lena Creighton",31,"OFF-AR-10001149","Sanford Colorific Colored Pencils  12/Box","Office Supplies","CA-2016-145583","Standard Class","11.52"
"LC-16885","Lena Creighton",31,"OFF-FA-10002988","Ideal Clamps","Office Supplies","CA-2016-145583","Standard Class","4.02"
"LC-16885","Lena Creighton",31,"OFF-BI-10004781","GBC Wire Binding Strips","Office Supplies","CA-2016-145583","Standard Class","76.176"
"LC-16885","Lena Creighton",31,"OFF-SU-10001218","Fiskars Softgrip Scissors","Office Supplies","CA-2016-145583","Standard Class","65.88"
"LC-16885","Lena Creighton",31,"FUR-FU-10001706","Longer-Life Soft White Bulbs","Furniture","CA-2016-145583","Standard Class","43.12"
"JD-15895","Jonathan Doherty",57,"FUR-FU-10004848","Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock","Furniture","CA-2016-110366","Second Class","82.8"
"SH-19975","Sally Hughsby",60,"OFF-AR-10000940","Newell 343","Office Supplies","CA-2017-106180","Standard Class","8.82"
"SH-19975","Sally Hughsby",60,"OFF-EN-10004030","Convenience Packs of Business Envelopes","Office Supplies","CA-2017-106180","Standard Class","10.86"
"SH-19975","Sally Hughsby",60,"OFF-PA-10004327","Xerox 1911","Office Supplies","CA-2017-106180","Standard Class","143.7"
"SG-20080","Sandra Glassco",52,"OFF-AP-10001058","Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators","Office Supplies","CA-2017-155376","Standard Class","839.43"
"HA-14920","Helen Andreada",48,"OFF-ST-10003656","Safco Industrial Wire Shelving","Office Supplies","CA-2015-110744","Standard Class","671.93"
"MG-17680","Maureen Gastineau",26,"FUR-FU-10000521","Seth Thomas 14 Putty-Colored Wall Clock","Furniture","CA-2014-110072","Standard Class","93.888"
"JE-16165","Justin Ellison",49,"TEC-PH-10000215","Plantronics Cordless Phone Headset with In-line Volume - M214C","Technology","CA-2016-114489","Standard Class","384.45"
"JE-16165","Justin Ellison",49,"TEC-PH-10001448","Anker Astro 15000mAh USB Portable Charger","Technology","CA-2016-114489","Standard Class","149.97"
"JE-16165","Justin Ellison",49,"FUR-CH-10000454","Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back","Furniture","CA-2016-114489","Standard Class","1951.84"
"JE-16165","Justin Ellison",49,"OFF-BI-10002735","GBC Prestige Therm-A-Bind Covers","Office Supplies","CA-2016-114489","Standard Class","171.55"
"TW-21025","Tamara Willingham",61,"OFF-AP-10000326","Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection","Office Supplies","CA-2016-158834","First Class","157.92"
"TW-21025","Tamara Willingham",61,"TEC-PH-10001254","Jabra BIZ 2300 Duo QD Duo Corded Headset","Technology","CA-2016-158834","First Class","203.184"
"SP-20650","Stephanie Phelps",18,"OFF-PA-10001950","Southworth 25% Cotton Antique Laid Paper & Envelopes","Office Supplies","CA-2015-124919","First Class","58.38"
"SP-20650","Stephanie Phelps",18,"OFF-PA-10002254","Xerox 1883","Office Supplies","CA-2015-124919","First Class","105.52"
"SP-20650","Stephanie Phelps",18,"OFF-ST-10001590","Tenex Personal Project File with Scoop Front Design  Black","Office Supplies","CA-2015-124919","First Class","80.88"
"NK-18490","Neil Knudson",61,"OFF-AR-10001547","Newell 311","Office Supplies","CA-2015-118948","Standard Class","6.63"
"DB-13060","Dave Brooks",50,"FUR-CH-10004063","Global Deluxe High-Back Managers Chair","Furniture","CA-2014-104269","Second Class","457.568"
"NP-18670","Nora Paige",64,"OFF-LA-10002475","Avery 519","Office Supplies","CA-2016-114104","Standard Class","14.62"
"NP-18670","Nora Paige",64,"TEC-PH-10004536","Avaya 5420 Digital phone","Technology","CA-2016-114104","Standard Class","944.93"
"TT-21070","Ted Trevino",67,"OFF-PA-10002751","Xerox 1920","Office Supplies","CA-2016-162733","First Class","5.98"
"EM-13960","Eric Murdock",46,"TEC-AC-10003657","Lenovo 17-Key USB Numeric Keypad","Technology","CA-2015-119697","Second Class","54.384"
"RD-19900","Ruben Dartt",26,"OFF-EN-10001990","Staple envelope","Office Supplies","CA-2016-154508","Standard Class","28.4"
"MJ-17740","Max Jones",40,"OFF-BI-10004002","Wilson Jones International Size A4 Ring Binders","Office Supplies","CA-2016-113817","Standard Class","27.68"
"BM-11140","Becky Martin",67,"OFF-AR-10004441","BIC Brite Liner Highlighters","Office Supplies","CA-2014-139892","Standard Class","9.936"
"BM-11140","Becky Martin",67,"TEC-MA-10000822","Lexmark MX611dhe Monochrome Laser Printer","Technology","CA-2014-139892","Standard Class","8159.952"
"BM-11140","Becky Martin",67,"OFF-ST-10000991","Space Solutions HD Industrial Steel Shelving.","Office Supplies","CA-2014-139892","Standard Class","275.928"
"BM-11140","Becky Martin",67,"FUR-CH-10004287","SAFCO Arco Folding Chair","Furniture","CA-2014-139892","Standard Class","1740.06"
"BM-11140","Becky Martin",67,"OFF-AR-10002656","Sanford Liquid Accent Highlighters","Office Supplies","CA-2014-139892","Standard Class","32.064"
"BM-11140","Becky Martin",67,"OFF-AP-10002518","Kensington 7 Outlet MasterPiece Power Center","Office Supplies","CA-2014-139892","Standard Class","177.98"
"BM-11140","Becky Martin",67,"TEC-PH-10003931","JBL Micro Wireless Portable Bluetooth Speaker","Technology","CA-2014-139892","Standard Class","143.976"
"CS-12130","Chad Sievert",51,"OFF-PA-10000659","Adams Phone Message Book  Professional  400 Message Capacity  5 3/6” x 11”","Office Supplies","CA-2014-118962","Standard Class","20.94"
"CS-12130","Chad Sievert",51,"OFF-PA-10001144","Xerox 1913","Office Supplies","CA-2014-118962","Standard Class","110.96"
"CS-12130","Chad Sievert",51,"FUR-CH-10003817","Global Value Steno Chair  Gray","Furniture","CA-2014-118962","Standard Class","340.144"
"JB-15400","Jennifer Braxton",39,"OFF-AP-10000891","Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center","Office Supplies","US-2014-100853","Standard Class","52.448"
"JB-15400","Jennifer Braxton",39,"OFF-LA-10003148","Avery 51","Office Supplies","US-2014-100853","Standard Class","20.16"
"SJ-20500","Shirley Jackson",69,"OFF-AP-10002684","Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection","Office Supplies","US-2017-152366","Second Class","97.264"
"JE-15745","Joel Eaton",25,"FUR-CH-10004698","Padded Folding Chairs  Black  4/Carton","Furniture","US-2015-101511","Second Class","396.802"
"JE-15745","Joel Eaton",25,"OFF-SU-10002189","Acme Rosewood Handle Letter Opener","Office Supplies","US-2015-101511","Second Class","15.88"
"JK-15640","Jim Kriz",31,"OFF-AR-10001940","Sanford Colorific Eraseable Coloring Pencils  12 Count","Office Supplies","CA-2015-137225","Standard Class","3.28"
"DK-13150","David Kendrick",20,"OFF-ST-10003455","Tenex File Box  Personal Filing Tote with Lid  Black","Office Supplies","CA-2014-166191","Second Class","24.816"
"DK-13150","David Kendrick",20,"TEC-AC-10004659","Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB","Technology","CA-2014-166191","Second Class","408.744"
